FAMSIZE,ELDCH,SEX,AGE,MARST,BIRTHYR,MARRNO,MARRINYR,YRMARR,DIVINYR,WIDINYR,RACE,HISPAN,SPEAKENG,RACNUM,HCOVANY,HCOVPRIV,HINSEMP,HINSPUR,HCOVPUB,HINSCAID,HINSCARE,HINSVA,HINSIHS,EDUC,EMPSTAT,LABFORCE,CLASSWKR,WKSWORK2,UHRSWORK,WRKLSTWK,ABSENT,LOOKING,AVAILBLE,WORKEDYR,INCTOT,FTOTINC,INCWAGE,INCBUS00,INCWELFR,VETDISAB,DIFFHEAR,VETSTAT,VETSTATD,VET01LTR,VET90X01,VET75X90,VETVIETN,VET55X64,VETKOREA,VET47X50,VETWWII,VETOTHER,TRANWORK,CARPOOL,RIDERS,TRANTIME,DEPARTS,ARRIVES,GCHOUSE,GCMONTHS,GCRESPON
1,99,2,74,5,1940,3,1,1981,1,1,1,1,6,1,2,2,1,2,2,1,2,1,1,4,3,1,0,0,0,1,1,1,5,1,17300,17300,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,99,1,66,5,1948,2,1,1993,1,1,1,0,3,1,2,1,1,1,2,1,2,1,1,10,3,1,2,0,0,1,1,1,5,2,14500,14500,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,99,2,67,1,1947,2,1,2009,1,1,6,4,4,1,2,1,1,1,2,1,2,1,1,6,1,2,1,2,20,2,4,2,4,3,91900,100200,70000,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,10,1,1,10,902,914,1,0,0
2,99,1,74,1,1940,1,1,1960,1,1,1,0,3,1,2,1,1,1,2,1,2,1,1,6,3,1,1,0,0,1,1,1,3,2,25600,32200,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,99,1,78,1,1936,1,1,1961,1,1,1,0,3,1,2,2,1,2,2,1,2,1,1,10,3,1,0,0,0,1,1,1,5,1,68800,78400,0,0,0,1,1,2,20,1,1,1,1,2,2,1,1,1,0,0,0,0,0,0,1,0,0
2,99,1,72,1,1942,2,1,1973,1,1,6,0,6,1,2,1,1,1,2,2,2,1,1,10,3,1,2,0,0,1,4,3,5,2,7200,13100,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,99,2,78,4,1936,1,1,1968,1,1,3,1,5,1,2,1,1,1,2,1,2,1,2,1,3,1,0,0,0,1,1,1,5,1,8400,8400,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,99,2,65,4,1949,1,1,1983,1,1,1,0,3,1,2,1,1,1,2,1,2,1,1,11,3,1,2,4,15,1,1,1,5,3,63000,63000,5000,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,9,1,65,1,1949,1,1,2004,1,1,1,0,3,1,2,1,1,1,2,1,2,2,1,7,3,1,0,0,0,1,1,1,5,1,69000,74600,0,0,0,6,2,2,20,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0
5,58,2,77,5,1937,1,1,1955,1,1,1,0,3,1,2,1,1,1,2,2,2,1,1,5,3,1,0,0,0,1,1,1,5,1,17100,49180,0,0,0,0,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
